Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Poltronieri, Filippo; ",Value-of-information middlewares for fog and edge computing,,,,,2021,Università degli studi di Ferrara
"Grabarnik, Genady Ya; Poltronieri, Filippo; Tortonesi, Mauro; Zaccarini, Mattia; Shwartz, Larisa; ",Using Simulation and DT to Improve Performance of Systems Operation Modeling,Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering,,,217-221,2023,
"Santos, José; Zaccarini, Mattia; Poltronieri, Filippo; Tortonesi, Mauro; Sleianelli, Cesare; Di Cicco, Nicola; De Turck, Filip; ",Efficient microservice deployment in kubernetes multi-clusters through reinforcement learning,NOMS 2024-2024 IEEE Network Operations and Management Symposium,,,1-9,2024,IEEE
"Borsatti, Davide; Cerroni, Walter; Foschini, Luca; Grabarnik, Genady Ya; Manca, Lorenzo; Poltronieri, Filippo; Scotece, Domenico; Shwartz, Larisa; Stefanelli, Cesare; Tortonesi, Mauro; ",Kubetwin: A digital twin framework for kubernetes deployments at scale,IEEE Transactions on Network and Service Management,21,4,3889-3903,2024,IEEE
"Zaccarini, Mattia; Tortonesi, Mauro; Poltronieri, Filippo; ",The Evolution of Kubernetes Management: Introducing the KubeTwin Framework,NOMS 2024-2024 IEEE Network Operations and Management Symposium,,,1-4,2024,IEEE
"Zaccarini, Mattia; Borsatti, Davide; Cerroni, Walter; Foschini, Luca; Grabarnik, Genady Ya; Manca, Lorenzo; Poltronieri, Filippo; Scotece, Domenico; Shwartz, Larisa; Stefanelli, Cesare; ",TELKA: Twin-Enhanced Learning for Kubernetes Applications,2024 IEEE Symposium on Computers and Communications (ISCC),,,1-6,2024,IEEE
"Dahdal, Simon; Gilli, Alessandro; Poltronieri, Filippo; Tortonesi, Mauro; Stefanelli, Cesare; Suri, Niranjan; ",Roamml platform: Enabling distributed continual learning for disaster relief operations,2024 IEEE Symposium on Computers and Communications (ISCC),,,1-6,2024,IEEE
"Di Cicco, Nicola; Poltronieri, Filippo; Santos, José; Zaccarini, Mattia; Tortonesi, Mauro; Stefanelli, Cesare; De Turck, Filip; ",Multi-objective scheduling and resource allocation of kubernetes replicas across the compute continuum,2024 20th International Conference on Network and Service Management (CNSM),,,1-9,2024,IEEE
"Colombi, Lorenzo; Dahdal, Simon; Di Caro, Edoardo; Fronteddu, Roberto; Gilli, Alessandro; Morelli, Alessandro; Poltronieri, Filippo; Tortonesi, Mauro; Suri, Niranjan; Stefanelli, Cesare; ",Efficient data dissemination via semantic filtering at the tactical edge,MILCOM 2024-2024 IEEE Military Communications Conference (MILCOM),,,457-462,2024,IEEE
"Santos, Jose; Zaccarini, Mattia; Poltronieri, Filippo; Tortonesi, Mauro; Stefanelli, Cesare; Di Cicco, Nicola; De Turck, Filip; ",Hephaestusforge: Optimal microservice deployment across the compute continuum via reinforcement learning,Future Generation Computer Systems,166,,107680,2025,North-Holland
"Zaccarini, Mattia; Poltronieri, Filippo; Stefanelli, Cesare; Tortonesi, Mauro; ",Hybridized Hot Restart via Reinforcement Learning for Microservice Orchestration,NOMS 2025-2025 IEEE Network Operations and Management Symposium,,,1-7,2025,IEEE
"Zaccarini, Mattia; Poltronieri, Filippo; Borsatti, Davide; Cerroni, Walter; Foschini, Luca; Grabarnik, Genady Ya; Scotece, Domenico; Shwartz, Larisa; Stefanelli, Cesare; Tortonesi, Mauro; ",Chaos Engineering Based Kubernetes Pod Rescheduling Through Deep Sets and Reinforcement Learning,NOMS 2025-2025 IEEE Network Operations and Management Symposium,,,1-7,2025,IEEE
"Di Caro, Edoardo; Brina, Matteo; Belletti, Nicolas; Poltronieri, Filippo; Tortonesi, Mauro; Stefanelli, Cesare; ",TimeGraph: Synthetic Generation of Graph Sequences for Realistic Mobile Connectivity Models,2025 IEEE 11th International Conference on Network Softwarization (NetSoft),,,249-256,2025,IEEE
"Dahdal, Simon; Cavicchi, Sara; Gilli, Alessandro; Poltronieri, Filippo; Tortonesi, Mauro; Suri, Niranjan; Stefanelli, Cesare; ",RoamML distributed continual learning: Adaptive and flexible data-driven response for disaster recovery operations,Journal of Network and Computer Applications,,,104322,2025,Academic Press
"Colombi, Lorenzo; Cavicchi, Sara; Poltronieri, Filippo; Tortonesi, Mauro; Stefanelli, Cesare; Varga, Pal; ",Investigating neuro-symbolic ai for intent-based service management,,,,,2025,
"Di Caro, Edoardo; Belletti, Nicolas; Poltronieri, Filippo; Tortonesi, Mauro; Stefanelli, Cesare; ",Beyond TimeGraph: A Comparative Analysis of Temporal Generators for Evolving Network Graphs,,,,,,
"Di Caro, Edoardo; Poltronieri, Filippo; Suri, Niranjan; Stefanelli, Cesare; Tortonesi, Mauro; ",DYNER: A Framework for Adaptive Networking in Disaster Relief Operations,,,,,,
